trial, person, eye, t0, x, y
42,0,R,-111,730.1,295.3
42,0,R,217,740.8,867.0
42,0,R,321,784.7,828.0
42,0,X,717,790.0,835.0
43,0,R,-124,1126.6,282.7
43,0,R,156,1331.5,295.9
43,0,R,484,1322.0,277.4
43,0,X,800,1290.0,310.0
44,0,R,-108,774.6,424.2
44,0,R,208,1308.1,991.3
44,0,R,320,1401.4,1040.9
44,0,X,1176,1370.0,1060.0
45,0,R,-115,1097.2,440.3
45,0,R,45,939.8,341.2
45,0,R,217,869.2,199.9
45,0,X,1249,870.0,235.0
46,0,R,-110,1125.4,480.0
46,0,R,198,1104.5,646.1
46,0,X,1534,1080.0,660.0
47,0,R,-122,1110.6,637.4
47,0,R,54,816.5,410.6
47,0,R,298,1652.0,111.7
47,0,R,494,1661.2,97.5
47,0,X,1160,1630.0,135.0
48,0,R,-117,1142.4,259.4
48,0,R,63,833.7,424.9
48,0,R,247,331.2,949.1
48,0,R,367,391.8,916.1
48,0,R,923,439.2,883.5
48,0,R,1031,385.2,864.3
48,0,X,1153,395.0,925.0
49,0,R,-122,800.1,309.4
49,0,R,226,228.7,57.9
49,0,X,1482,220.0,130.0
50,0,R,18,999.1,420.5
50,0,R,230,423.3,350.5
50,0,R,354,471.3,319.9
50,0,R,790,452.1,301.6
50,0,X,1406,450.0,450.0
51,0,R,-119,993.6,298.9
51,0,R,165,1283.3,184.8
51,0,R,293,1314.3,159.6
51,0,X,1029,1290.0,310.0
52,0,R,-112,818.3,371.1
52,0,R,208,871.0,111.0
52,0,R,344,878.5,130.2
52,0,X,1340,870.0,235.0
53,0,R,-118,968.1,596.5
53,0,R,182,1322.6,951.3
53,0,R,290,1396.2,1016.6
53,0,R,1090,1414.2,1028.7
53,0,R,1206,1394.2,1013.4
53,0,R,1414,1404.5,1021.9
53,0,X,1918,1370.0,1060.0
54,0,R,-108,894.6,429.6
54,0,R,228,366.3,852.5
54,0,R,356,389.9,898.0
54,0,R,1600,397.5,910.5
54,0,X,2160,395.0,925.0
55,0,R,-100,1041.5,440.6
55,0,R,176,1601.9,141.6
55,0,R,284,1669.2,42.3
55,0,X,1080,1630.0,135.0
56,0,R,-111,907.1,294.7
